gauge,drought,record_length,station_name,state,lat,lon,catchment_area_sq_km,prop_forested,climate_type,major_climate_type
234203,FALSE,48,Pirron YalloCreek C River at Pirron Yallock (above H'Wy (234203),VIC,-38.354,143.42,164.6,0.2271,Cfb,Temperate (C)
234209,FALSE,43,Dean Creek at Lake Colac (234209),VIC,-38.33843869,143.5583248,53.7,7.7e-4,Cfb,Temperate (C)
235202,FALSE,60,Gellibrand River River at Upper Gelliberand (235202),VIC,-38.564,143.66,51.6,0.99277,Cfb,Temperate (C)
235203,FALSE,46,Curdies River River at Curdie (235203),VIC,-38.445,142.96,780.5,0.09045,Cfb,Temperate (C)
235204,FALSE,43,Little Aire Creek at Beech Forest (235204),VIC,-38.6548305,143.5291815,11.1,0.9009,Cfb,Temperate (C)
235205,FALSE,62,Arkins Creek West Branch at Wyelangta (235205),VIC,-38.638056,143.443056,4.4,1,Cfb,Temperate (C)
235209,FALSE,54,Aire River at Beech Forest (235209),VIC,-38.66849499,143.5812749,25.1,1,Cfb,Temperate (C)
235210,FALSE,55,Lardner Creek at Gellibrand (235210),VIC,-38.535,143.54,51.6,0.99784,Cfb,Temperate (C)
235211,FALSE,55,Kennedys Creek at Kennedys Ck (235211),VIC,-38.588,143.26,266.3,0.41577,Cfb,Temperate (C)
235219,FALSE,51,Aire River at Wyelangta (235219),VIC,-38.7031718,143.4772919,90.3,0.9705,Cfb,Temperate (C)
235224,FALSE,52,Gellibrand River at Burrupa (235224),VIC,-38.7,143.25,1038.3,0.80966,Cfb,Temperate (C)
235227,FALSE,42,Gellibrand River at Bunkers Hill (235227),VIC,-38.5241,143.4829,314.1,0.98424,Cfb,Temperate (C)
235233,FALSE,42,Barham River East Branch at Apollo Bay Paradise (235233),VIC,-38.75502396,143.6249731,43.9,0.99878,Cfb,Temperate (C)
235234,TRUE,40,Love Creek at Gellibrand (235234),VIC,-38.483,143.57,76.6,0.95727,Cfb,Temperate (C)
235237,FALSE,38,Scotts Creek at Curdie (Digneys Br) (235237),VIC,-38.448,142.99,344.7,0.08281,Cfb,Temperate (C)
236202,TRUE,52,Hopkins River at Wickliffe (236202),VIC,-37.694023,142.725571,1394.3,0.09047,Cfb,Temperate (C)
236203,TRUE,60,Mount Emu Creek at Skipton (236203),VIC,-37.68769856,143.3600674,1251.5,0.17793,Cfb,Temperate (C)
236204,TRUE,59,Fiery Creek at Streatham (236204),VIC,-37.68052,143.0657,986.4,0.09843,Cfb,Temperate (C)
236205,FALSE,55,Merri River at Woodford (236205),VIC,-38.316,142.48,902.2,0.00495,Cfb,Temperate (C)
236209,FALSE,61,Hopkins River at Hopkins Falls (236209),VIC,-38.33543732,142.6251911,8453.8,0.06103,Cfb,Temperate (C)
236210,FALSE,61,Hopkins River at Framlingham (236210),VIC,-38.24379422,142.7030202,5191.7,0.04795,Cfb,Temperate (C)
236212,FALSE,46,BruCreeknell Creek at Cudgee (236212),VIC,-38.346,142.65,219.2,0.02484,Cfb,Temperate (C)
236213,TRUE,46,Mount Emu Creek at Mena Park (236213),VIC,-37.531111,143.466389,464.1,0.30201,Cfb,Temperate (C)
236216,TRUE,40,Mount Emu Creek at Taroon (Ayrford Road Bridge) (236216),VIC,-38.30559215,142.8812902,2984.6,0.0845,Cfb,Temperate (C)
237200,FALSE,61,Moyne River at Toolong (237200),VIC,-38.31991057,142.2264285,559,0.00166,Cfb,Temperate (C)
237202,FALSE,53,Fitzroy River at Heywood (237202),VIC,-38.126,141.62,261.4,0.59744,Csb,Temperate (C)
237205,FALSE,51,Darlot Creek at Homerton Br (237205),VIC,-38.15,141.77,732.3,0.22856,Csb,Temperate (C)
237206,FALSE,48,Eumeralla River at Codrington (237206),VIC,-38.258,141.94,432.8,0.20269,Csb,Temperate (C)
237207,FALSE,46,Surry River at Heathmere (237207),VIC,-38.243,141.66,303.6,0.6077,Csb,Temperate (C)
238204,TRUE,51,Wannon River River at Dunkeld (238204),VIC,-37.631,142.34,576.9,0.4873,Cfb,Temperate (C)
238208,TRUE,63,Jimmy Creek at Jimmy Creek (238208),VIC,-37.373333,142.507778,22.5,0.95699,Cfb,Temperate (C)
238219,FALSE,51,Grange Burn at Morgiana (238219),VIC,-37.70876208,141.8325532,987.2,0.01516,Csb,Temperate (C)
238223,FALSE,46,Wando River at Wando Vale (238223),VIC,-37.496,141.43,175.7,0.15325,Csb,Temperate (C)
238229,FALSE,50,Chetwynd River at Chetwynd (238229),VIC,-37.321,141.48,70.6,0.03677,Csb,Temperate (C)
238230,FALSE,47,Stokes River at Teakettle (238230),VIC,-37.87,141.41,201.1,0.7987,Csb,Temperate (C)
238231,FALSE,41,Glenelg River at Big Cord (238231),VIC,-37.312,142.37,58.4,0.99312,Cfb,Temperate (C)
238235,FALSE,51,Crawford River at Lower Crawford (238235),VIC,-37.98,141.46,600.4,0.55944,Csb,Temperate (C)
302200,TRUE,43,Swan river at The Grange (302200),TAS,-42.0467,148.075,457.2,0.92285,Cfb,Temperate (C)
302208,FALSE,51,Meredith Reiver at Swansea (302208),TAS,-42.1217,148.04,86.1,0.99662,Cfb,Temperate (C)
303203,FALSE,48,Coal River at Baden (303203),TAS,-42.435,147.4533,54.1,0.37848,Cfb,Temperate (C)
304040,FALSE,63,Florentine River at U/S Derwent Junction (304040),TAS,-42.4417,146.515,444.6,0.9845,Cfb,Temperate (C)
304497,FALSE,57,Nive River at Gowan Brae (304497),TAS,-42.030556,146.419722,177.6,0.83599,Cfb,Temperate (C)
304499,FALSE,56,Tyenna River at Newbury (304499),TAS,-42.706389,146.711111,206.1,0.97898,Cfb,Temperate (C)
305202,FALSE,46,Snug Rivulet at U/S Snug Tiers Rd Bridge (305202),TAS,-43.071111,147.236944,17.4,0.99296,Cfb,Temperate (C)
306119,FALSE,45,Huon River above Frying PanCreek (306119),TAS,-43.0367,146.84,1822.5,0.94728,Cfb,Temperate (C)
307473,FALSE,48,Davey River at D/S Crossing Rv  (307473),TAS,-43.1412,145.95,697.9,0.87327,Cfb,Temperate (C)
308145,FALSE,53,Franklin River at Mt Fincham Track (308145),TAS,-42.241667,145.767222,774,0.96094,Cfb,Temperate (C)
308799,FALSE,41,Collingwood river at B/L Alma (308799),TAS,-42.164167,145.928056,268.3,0.96901,Cfb,Temperate (C)
312061,FALSE,63,Hellyer River at Guilford Junction (312061),TAS,-41.419444,145.670556,99.4,0.99473,Cfb,Temperate (C)
314207,FALSE,52,Leven River at at Bannons Bridge (314207),TAS,-41.250833,146.09,499.6,0.93658,Cfb,Temperate (C)
314212,FALSE,51,Cam River U/S Somerset WS (314212),TAS,-41.06,145.8367,225.5,0.9391,Cfb,Temperate (C)
314213,FALSE,46,Black River at South Forest (314213),TAS,-40.872222,145.297778,319,0.98161,Cfb,Temperate (C)
314214,FALSE,54,Duck River at Scotchtown Road (314214),TAS,-40.8733,145.1183,359.2,0.63903,Cfb,Temperate (C)
315450,FALSE,59,Forth River at U/S Lemonthyme (315450),TAS,-41.611667,146.130556,309.6,0.94278,Cfb,Temperate (C)
316624,FALSE,49,Arm River at U/S Mersey (316624),TAS,-41.6894,146.2154,86.3,0.98871,Cfb,Temperate (C)
317200,FALSE,53,Rubican River at Tidal Limit (317200),TAS,-41.2567,146.5667,259.6,0.66934,Cfb,Temperate (C)
318076,TRUE,58,North Esk River at Ballroom (318076),TAS,-41.494444,147.384167,374.2,0.92181,Cfb,Temperate (C)
318150,FALSE,48,River at South Esk at Llewellyn (318150),TAS,-41.8167,147.5633,2282.4,0.85147,Cfb,Temperate (C)
318181,FALSE,63,South Esk River at U/S Macquarie R (at Per (318181),TAS,-41.5983,147.2033,3294.7,0.76201,Cfb,Temperate (C)
318191,TRUE,37,Break O'Day River at at Killymoon (318191),TAS,-41.5967,148.0567,185.7,0.69499,Cfb,Temperate (C)
319204,FALSE,47,Pipers River D/S  Yarrow Creek (319204),TAS,-41.0667,147.11,303,0.79355,Cfb,Temperate (C)
401009,FALSE,54,Maragle Creek at Maragle (401009),NSW,-35.926111,148.100833,215.5,0.82601,Cfb,Temperate (C)
401012,TRUE,48,Murray River at Biggara (401012),NSW,-36.318333,148.051944,1257.2,0.94789,Cfb,Temperate (C)
401013,TRUE,45,Jingellic Creek at Jingellic (401013),NSW,-35.8972,147.6917,392,0.73289,Cfb,Temperate (C)
401015,FALSE,45,Bowna Creek at Yambla (401015),NSW,-35.916667,146.976944,273.5,0.10171,Cfa,Temperate (C)
401017,TRUE,34,Mannus Creek at Yarramundi (401017),NSW,-35.77,147.93,199.4,0.20276,Cfb,Temperate (C)
401203,TRUE,63,Mitta Mitta River at Hinnomunjie (401203),VIC,-36.948056,147.606944,1520.4,0.77292,Cfb,Temperate (C)
401208,TRUE,56,Cudgewa Creek at Berringama (401208),VIC,-36.213333,147.677778,356.2,0.84718,Cfb,Temperate (C)
401210,FALSE,63,Snowy Creek at Below Granite Flat (401210),VIC,-36.568611,147.413611,412.9,0.97714,Cfb,Temperate (C)
401212,TRUE,61,Nariel Creek at Upper Nariel (401212),VIC,-36.446111,147.829444,254.7,0.97209,Cfb,Temperate (C)
401215,TRUE,58,Morass Creek at Uplands (401215),VIC,-36.86621971,147.7035132,536.7,0.64189,Cfb,Temperate (C)
401216,TRUE,60,Big River at Jokers Creek (401216),VIC,-36.933056,147.4725,358.1,0.82987,Cfb,Temperate (C)
401217,TRUE,48,Gibbo River at Gibbo Park (401217),VIC,-36.756111,147.708611,389.2,0.93866,Cfb,Temperate (C)
401220,FALSE,40,Tallangatta Creek at McCallums (401220),VIC,-36.213,147.34,454.7,0.72153,Cfb,Temperate (C)
402204,FALSE,53,Yackandandah Creek at Osbornes Flat (402204),VIC,-36.303333,146.906111,280.5,0.61585,Cfa,Temperate (C)
402206,FALSE,44,Running Creek at Running Creek (402206),VIC,-36.54,147.044444,127.4,0.93035,Cfb,Temperate (C)
402213,FALSE,47,Kinchington Creek at Osbornes Flat (402213),VIC,-36.316389,146.894444,120.3,0.4013,Cfa,Temperate (C)
402217,FALSE,39,Flaggy Creek at Myrtleford Road Bridge (402217),VIC,-36.385833,146.876389,22.5,0.41846,Cfa,Temperate (C)
403200,FALSE,59,Ovens River at Wangaratta (403200),VIC,-36.35066081,146.3209358,5117.2,0.73293,Cfa,Temperate (C)
403205,FALSE,57,Ovens Rivers at Bright (403205),VIC,-36.72564366,146.9525954,493.7,0.96691,Cfb,Temperate (C)
403209A,FALSE,47,Reedy Creek at Wangaratta North (403209A),VIC,-36.3325,146.344722,5486.9,0.72192,Cfa,Temperate (C)
403213,FALSE,59,Fifteen Mile Creek at Greta South (403213),VIC,-36.619444,146.244722,227.1,0.86662,Cfb,Temperate (C)
403214,FALSE,59,Happy Valley Creek at Rosewhite (403214),VIC,-36.577778,146.820278,137.6,0.69697,Cfb,Temperate (C)
403217,FALSE,48,Rose River at Matong North (403217),VIC,-36.824722,146.583611,177.8,0.96851,Cfb,Temperate (C)
403221,FALSE,56,Reedy Creek at Woolshed (403221),VIC,-36.311667,146.601111,211.5,0.62348,Cfa,Temperate (C)
403222,FALSE,54,Buffalo River at Abbeyard (403222),VIC,-36.910833,146.700556,414.8,0.96425,Cfb,Temperate (C)
403223,FALSE,51,King River at Docker Road Bridge (403223),VIC,-36.5163133,146.3894165,1083.1,0.76512,Cfb,Temperate (C)
403224,FALSE,46,Hurdle Creek at Bobinawarrah (403224),VIC,-36.513,146.45,152.3,0.62315,Cfb,Temperate (C)
403226,FALSE,50,Boggy Creek at Angleside (403226),VIC,-36.605556,146.362222,107.9,0.63922,Cfb,Temperate (C)
403230,FALSE,53,Ovens River at Rocky Point (403230),VIC,-36.5334707,146.6683095,2966.7,0.90487,Cfb,Temperate (C)
403232,FALSE,47,Morses Creek at Wandiligong (403232),VIC,-36.751111,146.979722,125.3,0.99024,Cfb,Temperate (C)
403233,FALSE,44,Buckland River at Harris Lane (403233),VIC,-36.72149292,146.8820491,457.1,0.94718,Cfb,Temperate (C)
404204,FALSE,53,Boosey Creek at Tungamah (404204),VIC,-36.12376902,145.8319105,830.3,0.10097,Cfa,Temperate (C)
404207,FALSE,61,Holland Creek at Kelfeera (404207),VIC,-36.612222,146.058611,454.7,0.65326,Cfb,Temperate (C)
405205,TRUE,45,Murrindindi River at Murrindindi above Colwells (405205),VIC,-37.413889,145.564167,107.8,0.97086,Cfb,Temperate (C)
405209,TRUE,48,Acheron River at Taggerty (405209),VIC,-37.317778,145.713889,625.8,0.93734,Cfb,Temperate (C)
405212,FALSE,56,Sunday Creek at Tallarook (405212),VIC,-37.1,145.06,333.2,0.45429,Cfb,Temperate (C)
405214,FALSE,61,Delatite River at Tonga Br (405214),VIC,-37.159,146.11,359.8,0.53438,Cfb,Temperate (C)
405215,FALSE,45,Howqua River at Glen Esk (405215),VIC,-37.229444,146.207222,369.5,0.95607,Cfb,Temperate (C)
405217,TRUE,44,Yea River at Devlins Bridge (405217),VIC,-37.383056,145.473333,360.2,0.75922,Cfb,Temperate (C)
405218,TRUE,62,Jamieson River at Gerrang Bridge (405218),VIC,-37.291667,146.1875,366.8,0.95338,Cfb,Temperate (C)
405219,TRUE,49,Goulburn River at Dohertys (405219),VIC,-37.3325,146.130278,699.1,0.95495,Cfb,Temperate (C)
405226,FALSE,44,Pranjip Creek at Moorlim (405226),VIC,-36.621111,145.306667,788.4,0.04183,Cfb,Temperate (C)
405227,TRUE,49,Big River at Jamieson (405227),VIC,-37.3675,146.056944,628.1,0.98933,Cfb,Temperate (C)
405228,FALSE,46,Hughes Creek at Tarcombe Rd (405228),VIC,-36.95,145.28,480.6,0.14263,Cfb,Temperate (C)
405229,TRUE,52,Wanalta Creek at Wanalta (405229),VIC,-36.635,144.87,108.7,0.53053,Cfb,Temperate (C)
405230,TRUE,47,Cornella Creek at Colbinabbin (405230),VIC,-36.604,144.81,259.3,0.41681,Cfb,Temperate (C)
405231,TRUE,46,King Parrot Creek at Flowerdale (405231),VIC,-37.347,145.29,182.7,0.97829,Cfb,Temperate (C)
405234,TRUE,54,Seven Creeks River at D/S of Polly McQuinn Weir (405234),VIC,-36.888,145.68,154.8,0.14744,Cfb,Temperate (C)
405237,TRUE,52,Seven Creeks at Euroa Township (405237),VIC,-36.762369,145.585843,341.5,0.13489,Cfb,Temperate (C)
405238,FALSE,46,Mollison Creek at Pyalong (405238),VIC,-37.120278,144.856944,164.3,0.23295,Cfb,Temperate (C)
405240,FALSE,45,Sugarloaf Creek at Ash Br (405240),VIC,-37.061,145.06,611.3,0.14903,Cfb,Temperate (C)
405241,TRUE,48,Rubicon River at Rubicon (405241),VIC,-37.291,145.83,127.7,0.9696,Cfb,Temperate (C)
405245,FALSE,50,Ford Creek at Mansfield (405245),VIC,-37.038611,146.053889,117.3,0.03768,Cfb,Temperate (C)
405246,FALSE,45,Castle Creek at Arcadia (405246),VIC,-36.59083189,145.3511279,202.7,0.04142,Cfb,Temperate (C)
405248,TRUE,50,Major Creek at Graytown (405248),VIC,-36.853611,144.914444,292.1,0.67626,Cfb,Temperate (C)
405251,FALSE,47,Brankeet Creek at Ancona (405251),VIC,-36.968611,145.783889,118.6,0.74215,Cfb,Temperate (C)
405263,TRUE,35,Goulburn River at U/S of Snake Creek Junction (405263),VIC,-37.462778,146.247778,327.6,0.94247,Cfb,Temperate (C)
405264,TRUE,46,Big River at D/S of Frenchman Creek Junction (405264),VIC,-37.520556,146.076667,336.5,0.99063,Cfb,Temperate (C)
405274,TRUE,44,Home Creek at Yarck (405274),VIC,-37.106111,145.605,181.4,0.26622,Cfb,Temperate (C)
406208,TRUE,63,Campaspe River at Ashborne (406208),VIC,-37.387778,144.450556,37.9,0.86208,Cfb,Temperate (C)
406213,TRUE,44,Campaspe River at Redesdale (406213),VIC,-37.016111,144.539167,638,0.19307,Cfb,Temperate (C)
406214,TRUE,49,Axe Creek at Longlea (406214),VIC,-36.773889,144.428333,236.2,0.57363,Cfb,Temperate (C)
406224,FALSE,40,Mount Pleasant Creek at Runnymede (406224),VIC,-36.546389,144.637222,242.3,0.14701,Cfb,Temperate (C)
406226,TRUE,41,Mount Ida Creek at Derrinal (406226),VIC,-36.881,144.65,173,0.40232,Cfb,Temperate (C)
406235,TRUE,36,Wild DuCreek Creek at U/S of Heathcote-Mia Mia (406235),VIC,-36.948,144.66,213.4,0.14373,Cfb,Temperate (C)
406250,TRUE,34,Coliban River at Springhill-Tylden Rd (406250),VIC,-37.32,144.37,78.2,0.64396,Cfb,Temperate (C)
407213,TRUE,44,McCallums Creek at Carisbrook (407213),VIC,-37.085,143.81,467.7,0.38204,Cfb,Temperate (C)
407214,TRUE,63,Creswick Creek at Clunes (407214),VIC,-37.296944,143.789444,305.7,0.28526,Cfb,Temperate (C)
407215,TRUE,37,Loddon River at Newstead (407215),VIC,-37.108889,144.058889,1027.5,0.66177,Cfb,Temperate (C)
407217,TRUE,58,Loddon River at Vaughan D/S Fryers Creek (407217),VIC,-37.15795783,144.2084168,294.7,0.81284,Cfb,Temperate (C)
407220,TRUE,37,Bet Bet Creek at Norwood (407220),VIC,-36.993611,143.644167,351,0.17505,Cfb,Temperate (C)
407221,TRUE,59,Larni Barramal Yaluk at Yandoit (407221),VIC,-37.2064268,144.100373,167.5,0.7741,Cfb,Temperate (C)
407230,TRUE,48,Joyces Creek at Strathlea (407230),VIC,-37.162222,143.960833,150.8,0.33978,Cfb,Temperate (C)
407246,TRUE,45,Bullock Creek at Marong (407246),VIC,-36.72893939,144.1360524,186.3,0.39265,Cfb,Temperate (C)
407253,FALSE,44,Piccaninny Creek at Minto (407253),VIC,-36.452222,144.468889,679.5,0.4568,BSk,Dry (B)
408200,TRUE,53,Avoca River at Coonooer (408200),VIC,-36.438056,143.298333,2677.9,0.32702,BSk,Dry (B)
408202,TRUE,51,Avoca River at Amphitheatre (408202),VIC,-37.181944,143.405556,76.6,0.24152,Cfb,Temperate (C)
408206,TRUE,34,Avoca River at Archdale Junction (408206),VIC,-36.885,143.5,667.5,0.3372,Cfb,Temperate (C)
410024,TRUE,63,Goodradigbee River at Wee Jasper (Kashmir) (410024),NSW,-35.1672,148.6855,989.3,0.98458,Cfb,Temperate (C)
410026,TRUE,52,Yass River at Yass (410026),NSW,-34.8367,148.9103,1229.1,0.4322,Cfb,Temperate (C)
410033,TRUE,57,Murrumbidgee River at Mittagang Crossing (410033),NSW,-36.17,149.09,1894.8,0.71373,Cfb,Temperate (C)
410038,TRUE,51,Adjungbilly Creek at Darbalara (410038),NSW,-35.0192,148.2457,389.2,0.63199,Cfb,Temperate (C)
410044,TRUE,39,Muttama Creek at Coolac (410044),NSW,-34.9319,148.1616,1062.5,0.10423,Cfa,Temperate (C)
410047,TRUE,48,Tarcutta Creek at Old Borambola (410047),NSW,-35.1639,147.6543,1646,0.4558,Cfa,Temperate (C)
410057,TRUE,63,Goobarragandra River at Lacmalac (410057),NSW,-35.33,148.348889,664.7,0.97476,Cfb,Temperate (C)
410061,TRUE,63,Adelong Creek at Batlow Road (410061),NSW,-35.332222,148.069167,146.6,0.57641,Cfb,Temperate (C)
410062,TRUE,56,Numeralla River at Numeralla School (410062),NSW,-36.1793,149.3485,674.1,0.73511,Cfb,Temperate (C)
410088,TRUE,58,Goodradigbee River at Brindabella (No.2&No.3-Cab (410088),NSW,-35.42,148.73,428.1,0.98261,Cfb,Temperate (C)
410091,TRUE,38,Billabong Creek at Walbundrie (410091),NSW,-35.69,146.72,2636.3,0.1332,Cfa,Temperate (C)
410141,TRUE,38,Micaligo Creek at Michelago (410141),NSW,-35.7053,149.1488,190.6,0.7315,Cfb,Temperate (C)
410156,TRUE,36,Kyeamba Creek at Book Book (410156),NSW,-35.35,147.55,144.4,0.06104,Cfa,Temperate (C)
410705,TRUE,60,Molonglo River at Burbong (410705),NSW,-35.335556,149.316111,498,0.6304,Cfb,Temperate (C)
410713,TRUE,57,Paddy's River at Riverlea (410713),ACT,-35.3843,148.9656,226.5,0.73243,Cfb,Temperate (C)
410730,TRUE,57,Cotter River at Gingera (410730),ACT,-35.591944,148.822222,129.2,0.9662,Cfb,Temperate (C)
410731,TRUE,51,Gudgenby River at Tennent (410731),ACT,-35.575,149.066111,669.6,0.93617,Cfb,Temperate (C)
410734,TRUE,53,Queanbeyan River at Tinderry (410734),NSW,-35.613889,149.348889,564.4,0.78177,Cfb,Temperate (C)
410761,TRUE,44,Murrumbidgee River at Lobb Holes (410761),ACT,-35.54,149.101944,5163.1,0.70482,Cfb,Temperate (C)
411003,TRUE,34,Butmaroo Creek at Butmaroo (411003),NSW,-35.2567,149.5422,63.9,0.56136,Cfb,Temperate (C)
412028,TRUE,51,Abercrombie River at Abercrombie  (412028),NSW,-33.954722,149.325278,2639.3,0.58155,Cfb,Temperate (C)
412029,TRUE,52,Boorowa River at Prossers Crossing (412029),NSW,-34.1441,148.8101,1550.6,0.08017,Cfa,Temperate (C)
412050,TRUE,42,Crookwell River at Narrawa North (412050),NSW,-34.310556,149.167222,759.3,0.11408,Cfb,Temperate (C)
412066,TRUE,55,Abercrombie River at Hadley No. 2 (412066),NSW,-34.112778,149.5975,1636.6,0.503,Cfb,Temperate (C)
415201,TRUE,56,Wimmera River at Glenorchy Weir Tail Gauge (415201),VIC,-36.909,142.64,1973.8,0.23347,Cfb,Temperate (C)
415206,TRUE,59,Wimmera River at Glynwylln (415206),VIC,-36.95390887,142.8600891,1386.5,0.27442,Cfb,Temperate (C)
415207,TRUE,57,Wimmera River at Eversley (415207),VIC,-37.185278,143.184722,305.8,0.5551,Cfb,Temperate (C)
415220,TRUE,43,Avon River at Wimmera HWY (415220),VIC,-36.64,142.98,526.5,0.19966,Cfb,Temperate (C)
415223,TRUE,50,Burnt Creek at Wonwondah East (415223),VIC,-36.88537671,142.2340353,82,0.08399,Cfb,Temperate (C)
415226,TRUE,47,Richardson River at Carrs Plains (415226),VIC,-36.743611,142.785278,129.7,0.10739,Cfb,Temperate (C)
415237,TRUE,44,Concongella Creek at Stawell (415237),VIC,-37.026389,142.821389,239.6,0.16001,Cfb,Temperate (C)
415238,TRUE,41,Wattle Creek at Navarre (415238),VIC,-36.902,143.11,139.3,0.4657,Cfb,Temperate (C)
415245,TRUE,34,Mount Cole Creek at Crowlands (415245),VIC,-37.165,143.09,153.1,0.36482,Cfb,Temperate (C)
416003,FALSE,43,Tenterfield Creek at Clifton (416003),NSW,-29.029167,151.725833,555.1,0.62,Cfb,Temperate (C)
416008,FALSE,32,Beadt River at Haystack (416008),NSW,-29.219167,151.383056,898,0.78624,Cfa,Temperate (C)
416010,FALSE,46,Macintyre River at Wallangra (416010),NSW,-29.2642,150.8984,2142.9,0.57847,Cfa,Temperate (C)
416016,FALSE,46,Macintyre River at Inverell (Middle Ck) (416016),NSW,-29.7936,151.1263,752.8,0.61882,Cfa,Temperate (C)
416020,FALSE,41,Ottleys Creek at Coolatai (416020),NSW,-29.234,150.7581,385.1,0.60892,Cfa,Temperate (C)
416023,FALSE,42,Deepwater River at Bolivia (416023),NSW,-29.2929,151.9234,538.9,0.55415,Cfb,Temperate (C)
416032,FALSE,47,Mole River at Donaldson (416032),NSW,-29.017,151.5986,1585.9,0.75056,Cfb,Temperate (C)
418005,FALSE,50,Copes Creek at Kimberley (418005),NSW,-29.916944,151.114167,237.5,0.85344,Cfa,Temperate (C)
418014,FALSE,47,Gwydir River at Yarrowyck (418014),NSW,-30.4675,151.362778,826.2,0.3766,Cfb,Temperate (C)
418015,FALSE,46,Horton River at Rider (Killara) (418015),NSW,-29.83,150.35,1958.1,0.56977,Cfa,Temperate (C)
418017,FALSE,40,Myall Creek at Molroy (418017),NSW,-29.7992,150.5832,872.6,0.58151,Cfa,Temperate (C)
418021,FALSE,42,Laura Creek at Laura (418021),NSW,-30.2293,151.1857,346.9,0.44359,Cfb,Temperate (C)
418025,FALSE,41,Halls Creek at Bingara (418025),NSW,-29.9361,150.5716,121.8,0.64683,Cfa,Temperate (C)
418027,FALSE,47,Horton River at Horton Dam Site (418027),NSW,-30.2081,150.4281,206.9,0.72379,Cfa,Temperate (C)
419005,FALSE,59,Namoi River at North Cuerindi (419005),NSW,-30.678611,150.778056,2535.9,0.4956,Cfa,Temperate (C)
419010,FALSE,41,Macdonald River at Woolbrook (419010),NSW,-30.9669,151.3448,843.9,0.22729,Cfb,Temperate (C)
419016,FALSE,47,CoCreekburn River at Mulla Crossing (419016),NSW,-31.0614,151.1254,894.5,0.85877,Cfb,Temperate (C)
419029,FALSE,34,Halls Creek at Ukolan (419029),NSW,-30.7054,150.8259,357.4,0.8527,Cfa,Temperate (C)
419035,FALSE,37,Goonoo Goonoo Creek at Timbumburi (419035),NSW,-31.2726,150.9147,454.1,0.17143,Cfa,Temperate (C)
419054,FALSE,45,Swamp Oak Creek at Limbri (419054),NSW,-31.0396,151.1694,393.1,0.85612,Cfb,Temperate (C)
420003,TRUE,32,Belar Creek at Warkton (Blackburns) (420003),NSW,-31.3861,149.2011,130.9,0.65498,Cfa,Temperate (C)
420017,TRUE,37,Castlereagh River at Hidden Valley (420017),NSW,-31.4197,149.3103,1156.7,0.58693,Cfa,Temperate (C)
421018,FALSE,39,Bell River at Newrea (421018),NSW,-32.6808,148.9478,1635,0.16214,Cfa,Temperate (C)
421026,TRUE,36,Turon River at Sofala (421026),NSW,-33.0819,149.689,885.8,0.78975,Cfb,Temperate (C)
421042,FALSE,43,Talbragar River at Elong Elong (421042),NSW,-32.0939,149.0598,3192,0.40913,Cfa,Temperate (C)
421048,FALSE,31,Little River at Obley No.2 (421048),NSW,-32.7072,148.5511,577.6,0.43956,Cfa,Temperate (C)
421050,FALSE,36,Bell River at Molong (421050),NSW,-33.03,148.95,368.2,0.21621,Cfa,Temperate (C)
422202B,FALSE,63,Dogwood Creek at Gilweir (422202B),QLD,-26.708889,150.178889,2987.4,0.89412,Cfa,Temperate (C)
422306A,TRUE,63,Swan Creek at Swanfels (422306A),QLD,-28.164444,152.283333,81.9,0.96712,Cfa,Temperate (C)
422313B,TRUE,41,Emu Creek at Emu Vale (422313B),QLD,-28.228333,152.226667,153.4,0.83808,Cfa,Temperate (C)
422319B,TRUE,52,Dalrymple Creek at Allora (422319B),QLD,-28.035833,152.014444,245.7,0.68002,Cfa,Temperate (C)
422321B,TRUE,46,Spring Creek at Killarney (422321B),QLD,-28.353889,152.333056,33.3,0.62867,Cfa,Temperate (C)
422334A,TRUE,51,Kings Creek at Aides Bridge (422334A),QLD,-27.926389,151.8625,513.5,0.35994,Cfa,Temperate (C)
422338A,TRUE,47,Canal Creek at Leyburn (422338A),QLD,-28.0321,151.5853,395.6,0.92635,Cfa,Temperate (C)
422394A,TRUE,49,Condamine River at Elbow Valley (422394A),QLD,-28.371111,152.141944,327.8,0.68968,Cfa,Temperate (C)
424002,FALSE,46,Paroo River at Willarra Crossing (424002),NSW,-29.2387,144.4553,35247.5,0.08985,BSh,Dry (B)
424201A,TRUE,52,Paroo River at Caiwarro (424201A),QLD,-28.6891,144.7859,22886.1,0.11568,BSh,Dry (B)
602004,FALSE,45,Kalgan R River at Stevens Farm (602004),WA,-34.8861,118,2431.3,0.49342,Csb,Temperate (C)
603003,FALSE,47,Denmark River at Kompup (603003),WA,-34.6994,117.2169,230.2,0.91173,Csb,Temperate (C)
603004,FALSE,38,Hay River at Sunny Glen (603004),WA,-34.9108,117.4783,1234.1,0.62394,Csb,Temperate (C)
603005,TRUE,36,Mitchell River at Beigpiegup (603005),WA,-34.8276,117.3929,51.5,0.99799,Csb,Temperate (C)
603007,TRUE,36,Sleeman River at Sleeman Rd Bridge (603007),WA,-34.9583,117.5032,79.7,0.35039,Csb,Temperate (C)
603136,FALSE,61,Denmark River at Mt Lindesay (603136),WA,-34.8667,117.315,494,0.95291,Csb,Temperate (C)
