gauge,drought,record_length,station_name,state,lat,lon,catchment_area_sq_km,prop_forested,climate_type,major_climate_type
138113A,FALSE,36,Kandanga Creek at Hygait (138113A),QLD,-26.39,152.644444,170.3,0.87324,Cfa,Temperate (C)
138903A,FALSE,40,Tinana Creek at Bauple East (138903A),QLD,-25.82,152.72,772,0.86937,Cfa,Temperate (C)
140002A,FALSE,42,Teewah Creek at Coops Coner Tm (140002A),QLD,-26.0572,153.0426,52.2,0.99918,Cfa,Temperate (C)
141008A,TRUE,39,Eudlo Creek at Kiels Mountain (141008A),QLD,-26.66,153.02,57.2,0.92423,Cfa,Temperate (C)
143007A,TRUE,50,Brisbane River at Linville (143007A),QLD,-26.8061,152.2711,2010,0.83045,Cfa,Temperate (C)
143009A,TRUE,59,Brisbane River at Gregors Creek (143009A),QLD,-26.996389,152.408611,3868.7,0.75132,Cfa,Temperate (C)
143107A,TRUE,48,Bremer River at Walloon (143107A),QLD,-27.6,152.69,624.3,0.48016,Cfa,Temperate (C)
143110A,TRUE,48,Bremer River at Adams Bridge (143110A),QLD,-27.8275,152.510833,125.7,0.58348,Cfa,Temperate (C)
143209B,TRUE,46,Laidley Creek at Mulgowie2 (143209B),QLD,-27.7314,152.3633,172.7,0.8437,Cfa,Temperate (C)
143303A,TRUE,59,Stanley River at Peachester (143303A),QLD,-26.838889000000002,152.840556,104,0.89756,Cfa,Temperate (C)
145010A,TRUE,56,Running Creek at 5.8KM Deickmans Bridge (145010A),QLD,-28.246389,152.891111,132.2,0.68887,Cfa,Temperate (C)
145011A,TRUE,55,Teviot Brook at Croftby (145011A),QLD,-28.147778,152.570833,82.8,0.78816,Cfa,Temperate (C)
145018A,TRUE,48,Burnett Creek at Up Stream Maroon Dam (145018A),QLD,-28.219722,152.608333,81.5,0.9048,Cfa,Temperate (C)
145101D,TRUE,63,Albert River at Lumeah Number 2 (145101D),QLD,-28.053056,153.045278,166.8,0.70619,Cfa,Temperate (C)
145102B,TRUE,57,Albert River at Bromfleet (145102B),QLD,-27.91,153.11,543.2,0.63823,Cfa,Temperate (C)
145107A,TRUE,48,Canungra Creek at Main Rd Bridge (145107A),QLD,-27.996667,153.158333,99.7,0.98549,Cfa,Temperate (C)
146010A,TRUE,59,Coomera River at Army Camp (146010A),QLD,-28.025833,153.193056,97,0.76275,Cfa,Temperate (C)
146012A,TRUE,46,Currumbin Creek at Nicolls Bridge (146012A),QLD,-28.178333,153.424167,30.1,0.99605,Cfa,Temperate (C)
146014A,TRUE,40,Back Creek at Beechmont (146014A),QLD,-28.123333,153.19,6.8,0.3826,Cfa,Temperate (C)
146095A,TRUE,49,Tallebudgera Creek at Tallebudgera Ck Rd (146095A),QLD,-28.149444,153.403611,56.3,0.99891,Cfa,Temperate (C)
201001,TRUE,56,Oxley River at Eungella (201001),NSW,-28.3553,153.292,214.8,0.76353,Cfa,Temperate (C)
203005,TRUE,46,Richmond River at Wiangaree (203005),NSW,-28.5065,152.9658,702.5,0.92524,Cfa,Temperate (C)
203010,TRUE,49,Leycester River at Rock Valley (203010),NSW,-28.7381,153.163,175.9,0.93627,Cfa,Temperate (C)
203030,FALSE,42,Myrtle Creek at Rappville (203030),NSW,-29.1116,152.9984,387.3,0.91725,Cfa,Temperate (C)
204002,FALSE,49,Clarence River at Tabulam (204002),NSW,-28.89,152.56,4545.3,0.80938,Cfa,Temperate (C)
204007,FALSE,47,Clarence River at Lilydale (Newbold Crossing (204007),NSW,-29.51,152.68,16944.4,0.83269,Cfa,Temperate (C)
204014,FALSE,38,Mann River at Mitchell (204014),NSW,-29.6947,152.1049,882.9,0.39705,Cfb,Temperate (C)
204017,FALSE,44,Bielsdown Creek at Dorrigo No.2 & No.3 (204017),NSW,-30.3073,152.7135,74,0.20701,Cfb,Temperate (C)
204025,TRUE,43,Orara River at Karangi (204025),NSW,-30.2544,153.0323,134.3,0.98072,Cfa,Temperate (C)
204030,FALSE,40,Aberfoyle River at Aberfoyle (204030),NSW,-30.2603,152.0083,208.6,0.16926,Cfb,Temperate (C)
204034,FALSE,40,Henry River at Newton Boyd (204034),NSW,-29.763056,152.213333,400.1,0.86827,Cfb,Temperate (C)
204036,FALSE,55,Cataract Creek at Sandy Hill(below Snake Cre (204036),NSW,-28.9341,152.2171,238.6,0.42426,Cfb,Temperate (C)
204037,FALSE,48,Clouds Creek at Clouds Ck (204037),NSW,-30.0938,152.6282,62.8,0.99992,Cfb,Temperate (C)
204039,TRUE,32,Maryland River at D/S Wylie Ck (204039),NSW,-28.468,152.1978,385.5,0.68152,Cfa,Temperate (C)
204041,TRUE,42,Orara River at Bawden Br (204041),NSW,-29.7242,152.8092,1809.8,0.93505,Cfa,Temperate (C)
204046,FALSE,46,Timbarra River at Drake (204046),NSW,-29.0573,152.3849,1714.6,0.94036,Cfb,Temperate (C)
204051,FALSE,39,Clarence River at Paddys Flat (204051),NSW,-28.7211,152.4174,3116.8,0.81269,Cfb,Temperate (C)
204056,FALSE,42,Dandahra Creek at Gibraltar Range (204056),NSW,-29.4864,152.4456,112.4,0.99835,Cfb,Temperate (C)
204906,TRUE,44,Orara River at Glenreagh (204906),NSW,-30.07,152.98,432.2,0.93496,Cfb,Temperate (C)
206009,TRUE,60,Tia River at Tia (206009),NSW,-31.1878,151.8291,262.2,0.30954,Cfb,Temperate (C)
206014,TRUE,58,Wollomombi River at Coninside (206014),NSW,-30.476389,152.028333,369.9,0.20953,Cfb,Temperate (C)
206018,FALSE,58,Apsley River at Apsley Falls (206018),NSW,-31.049722,151.766111,862.9,0.07192,Cfb,Temperate (C)
206025,FALSE,47,Salisbury Waters River at near Dangar Falls (206025),NSW,-30.681,151.7133,648.7,0.02275,Cfb,Temperate (C)
207004,FALSE,43,Hastings River at Ellenborough (Kindee Bridg (207004),NSW,-31.4241,152.4697,1580.9,0.94663,Cfb,Temperate (C)
