gauge,year,realspace_a3_off_streamflow,realspace_a3_on_streamflow
116012A,1984,382.27031707957855,382.27031707957855
116012A,1985,465.7091158978356,465.7091158978356
116012A,1986,471.3279547222922,471.3279547222922
116012A,1987,65.46865979273868,65.46865979273868
116012A,1988,480.1525804028251,480.1525804028251
116012A,1989,709.0987549201122,709.0987549201122
116012A,1990,179.51897525964063,179.51897525964063
116012A,1991,805.2212478272826,805.2212478272826
116012A,1992,49.461159406438746,49.461159406438746
116012A,1993,5.1279699605238855,5.1279699605238855
116012A,1994,89.20740228289138,89.20740228289138
116012A,1995,165.56345677250533,165.56345677250533
116012A,1996,459.1109108287959,459.1109108287959
116012A,1997,687.5741201243833,687.5741201243833
116012A,1998,743.2321261110698,743.2321261110698
116012A,1999,887.8908239672394,887.8908239672394
116012A,2000,963.666638236559,963.666638236559
116012A,2001,348.38194705024415,348.38194705024415
116012A,2002,4.71284825595876,4.71284825595876
116012A,2003,108.53560816786097,108.53560816786096
116012A,2004,415.01672560316774,415.01672560316774
116012A,2005,21.259017795992463,21.259017795992463
116012A,2006,342.61362411451233,342.61362411451233
116012A,2007,507.97101493401857,507.97101493401857
116012A,2008,611.4201643020283,611.4201643020283
116012A,2009,654.4838553138544,654.4838553138544
116012A,2010,854.2746779800605,854.2746779800605
116012A,2011,805.3420172364345,805.3420172364345
116012A,2012,227.02534885725717,227.02534885725717
116012A,2013,344.78533578770197,424.9517353554225
116012A,2014,130.86144781233384,678.9704152250313
117003A,1974,1521.210310176578,1521.210310176578
117003A,1975,974.5350833453992,974.5350833453992
117003A,1976,995.3412611313329,995.3412611313328
117003A,1977,702.7617509006602,702.7617509006602
117003A,1978,435.93275449512265,435.93275449512265
117003A,1979,661.6282293413022,661.6282293413022
117003A,1980,373.8902843987411,373.8902843987411
117003A,1981,1366.503313987529,1366.503313987529
117003A,1982,6.704040479596873,6.704040479596873
117003A,1983,199.75863344864726,199.7586334486473
117003A,1984,513.108112902245,513.108112902245
117003A,1985,192.30269302921087,192.30269302921087
117003A,1986,275.9060515551947,275.9060515551947
117003A,1987,178.52723299210754,178.52723299210754
117003A,1988,308.8334798784078,308.8334798784078
117003A,1989,637.3532849964209,637.3532849964209
117003A,1990,814.3681535287391,814.3681535287391
117003A,1992,204.78298279093934,204.78298279093937
117003A,1993,1.3711543240046409e-4,1.3711543240046409e-4
117003A,1994,340.4501815841929,340.4501815841929
117003A,1995,51.3171494912121,51.3171494912121
117003A,1996,213.13363748563384,213.13363748563384
117003A,1997,1076.6868875589912,1076.6868875589912
117003A,1998,1354.909543862454,1354.909543862454
117003A,1999,646.2403529167354,646.2403529167354
117003A,2000,1694.8695517436142,1694.8695517436142
117003A,2001,124.96317077109227,124.96317077109228
117003A,2002,298.2192603474633,298.2192603474633
117003A,2003,141.0766435318348,141.0766435318348
117003A,2004,393.49791261003,393.49791261003
117003A,2005,9.673816125892397,9.673816125892396
117003A,2006,533.6475515387082,533.6475515387082
117003A,2007,907.2887535773068,907.2887535773068
117003A,2008,1020.3385864399155,1020.3385864399156
117003A,2009,1481.8751451507255,1481.8751451507255
117003A,2010,1587.3741195915643,1587.3741195915643
117003A,2011,1442.4945531106569,1442.4945531106569
117003A,2012,1106.3103739059468,1106.3103739059468
117003A,2013,320.4094142117514,320.4094142117514
117003A,2014,558.7101857438139,558.7101857438139
117003A,2015,69.86750196572808,39.68246678018247
117003A,2016,382.085453494228,305.25081766879373
117003A,2017,382.0129550759717,272.93521292590947
117003A,2018,793.9756186700326,658.0057537981523
