year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser,loglikelihood
2001,1397.37251035,335.7868606659158,36.30604879460647,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2002,983.55637466,NA,36.30267191845157,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2003,1371.53896774,NA,36.3045002819373,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2004,1378.80301116,242.6236309150742,36.30487431358476,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2005,1208.1187189299999,265.6126894046234,36.30387028987577,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2006,2557.63896945,564.9305937043223,36.312159512235255,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2007,1370.63715557,138.30891469165684,36.30619894927868,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2008,1338.49796386,159.2944028900665,36.30492650356317,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2009,984.03432256,144.07931358222982,36.30247331255429,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2010,2300.63672015,NA,36.31029561791512,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2011,1645.2131179,434.85389566265013,36.30758736148597,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2012,1124.11877872,166.8845948057304,36.30383047164846,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2013,1501.89632434,235.07874524572281,36.30552652361816,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
2014,1360.41343459,326.6959423118773,36.30494325212439,102101A,streamflow_model_precip_auto,CO2_variable_objective_function,dream,237.70467668784562
1959,1287.75009277,NA,-204.48231742789346,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1960,1117.59482754,NA,-204.49063430577172,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1961,659.58965211,NA,-204.51302076032263,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1962,1132.91305987,NA,-204.489885578617,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1963,1219.41488883,NA,-204.48565752756764,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1964,1335.34365939,NA,-204.47999114148183,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1965,934.52353389,NA,-204.4995824954751,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1966,890.01394455,NA,-204.5017580427228,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1967,1108.82302788,NA,-204.49106305528144,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1968,1388.56990508,NA,-204.47738954002844,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1969,1058.21009562,NA,-204.4935369227583,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1970,1239.22813883,NA,-204.48468909217777,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1971,1373.59589852,69.72329210928393,-204.4781214420577,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1972,1418.72883265,75.54081580012122,-204.47591542685777,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1973,1918.76145338,84.47183131833293,-204.45147474771602,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1974,1418.23369083,95.50573131029778,-204.4759396284835,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1975,1511.7407583,79.09306724596178,-204.4713691741996,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1976,1500.21072531,95.85223389561112,-204.47193274110526,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1977,1246.86391177,73.80648122889042,-204.48431586957452,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1978,946.15659292,44.98546278493792,-204.49901389284517,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1979,1603.84675065,86.29338607949182,-204.46686720190272,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1980,909.03741323,42.65249492906887,-204.50082821039805,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1981,1578.67962053,68.00930000612983,-204.46809732515203,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1982,1388.54952804,86.73493485606294,-204.47739053602086,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1983,842.15615069,21.351730793796357,-204.5040972440782,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1984,1715.21785646,77.0091518956705,-204.4614235861266,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1985,1404.05955892,85.51885125326638,-204.47663243410412,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
