gauge,streamflow_model,objective_function,parameter,parameter_values
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-4.79081438737569
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-2.6637142862126097
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.015217091250763634
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.3761459485362535
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-8.346045421032102
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-5.100126438963116
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.019160638630128225
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,2.052579573518163
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.418743293761224
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-5.469380249187623
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.019679415186687598
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.7042001259404467
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-6.2175666859246235
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.23738760012958
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.016271213828660248
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6839034887493536
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-6.2175666859246235
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.23738760012958
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.016271213828660248
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6839034887493536
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.350648792530649
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-3.2945076927351806
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.015546827701606201
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.4347009829043036
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-8.59101434864101
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-5.196645038525105
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.01916564408656303
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.4643529032057474
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-5.489180979249966
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.5340408932776768
