gauge,decade,sum_decade_realspace_CO2_off_streamflow,sum_decade_realspace_CO2_on_streamflow,sum_decade_realspace_observed_streamflow,years_of_data,realspace_CO2_off_streamflow_per_year,realspace_a3_on_streamflow_per_year,CO2_impact_on_streamflow_mm_per_year,CO2_impact_on_streamflow_percent,CO2_model,non_CO2_model,evidence_ratio,lat,lon,state,status,parent_catchment,catchment_area_sq_km,record_length,prop_forested,river_di,binned_evidence_ratio,impact_of_CO2_term,IQR_CO2_impact_on_streamflow_percentage,mean_CO2_impact_on_streamflow_percentage,median_CO2_impact_on_streamflow_percentage
218005,1,3456.687361225531,2699.1795106029886,2414.4794941490118,10,345.66873612255307,269.91795106029883,-75.75078506225424,-21.914271424129495,660.5749561626516,679.5947967206861,13492.918604889664,-36.1975,149.7606,NSW,sub_catchment,218008,918.9,54,0.92922,0.035956,Very Strong,Negative-Slope,13.488745222598958,-27.24742832004638,-26.529045760841218
616178,1,1830.4760031009246,1397.553702710892,1399.2295791490117,10,183.04760031009246,139.7553702710892,-43.29223003900327,-23.650804471440164,429.72125235635536,476.7633207075287,16407988807.617617,-31.884,116.0948,WA,no_nested,NA,73,49,0.91826,0.11882,Extremely Strong,Negative-Intercept,10.123585698799683,-27.750180431715975,-27.37098077531324
407246,1,601.3266131227174,458.527326382729,429.5478981490116,10,60.132661312271736,45.8527326382729,-14.279928673998839,-23.747375157474735,393.22288703012833,414.9970025522346,53479.71815243953,-36.72893939,144.1360524,VIC,no_nested,NA,186.3,45,0.39265,0.658451,Very Strong,Negative-Slope,23.33292373558447,-35.7440726878237,-37.31073497806185
401217,2,2461.082051502551,1866.7236707940854,1889.4741401192093,8,307.6352564378189,233.34045884926067,-74.29479758855823,-24.150287079847473,529.8714001347741,539.4737374825795,121.65250658431208,-36.756111,147.708611,VIC,no_nested,NA,389.2,48,0.93866,0.019382,Moderately Strong,Negative-Slope,11.39296354999335,-26.43769547982434,-26.110587621267833
401009,1,1872.8331148582881,1412.4335452756225,1495.9468761341104,9,208.09256831758756,156.93706058618028,-51.15550773140728,-24.583053659722516,545.7713008583802,572.7583844970216,724720.845732437,-35.926111,148.100833,NSW,no_nested,NA,215.5,54,0.82601,0.106561,Very Strong,Negative-Intercept,13.583427761027169,-29.320346669102047,-29.17188793322864
410156,2,698.716997039561,519.662961933073,544.4266401490116,10,69.8716997039561,51.9662961933073,-17.905403510648796,-25.626116992306404,352.61940750443,363.35096058179573,213.95731632079065,-35.35,147.55,NSW,no_nested,NA,144.4,36,0.06104,0.24856,Moderately Strong,Negative-Intercept,8.251656872402528,-23.69312337905469,-24.078213471060884
221208,1,2661.76047182021,1945.2667030475636,1955.9711501490115,10,266.176047182021,194.52667030475635,-71.64937687726467,-26.91804076129667,453.5987338971524,470.9301271560333,5800.483931042036,-37.689,149.49,VIC,no_nested,NA,421,42,0.99913,0.113156,Strong,Negative-Slope,16.821230252569897,-24.24243492901208,-24.4163990969642
236213,1,457.9292221792946,328.45146310251755,278.1550631490116,10,45.79292221792946,32.84514631025176,-12.947775907677702,-28.27462254114068,395.4687989455101,405.2377126232909,132.21862980925223,-37.531111,143.466389,VIC,sub_catchment,236209,464.1,46,0.30201,0.416917,Moderately Strong,Negative-Intercept,23.58090741178501,-28.614840108231352,-29.964625181999267
235204,2,3828.159057892056,2742.6716873360865,2783.0330660447034,3,1276.053019297352,914.2238957786955,-361.8291235186565,-28.35533618484714,500.8356333759694,553.6377714927872,292306591247.9481,-38.6548305,143.5291815,VIC,sub_catchment,235219,11.1,43,0.9009,0.206489,Extremely Strong,Negative-Slope,3.478555725075907,-28.96333388280638,-28.56176315324182
405228,1,2292.001523599616,1633.4719930701854,1661.5041611490117,10,229.2001523599616,163.34719930701854,-65.85295305294306,-28.731635810398682,426.1980749345586,458.1524142320763,8685535.803743672,-36.95,145.28,VIC,no_nested,NA,480.6,46,0.14263,0.187411,Extremely Strong,Negative-Intercept,13.957140617716048,-20.205617131790845,-20.799913088189975
606195,1,2524.486928528081,1793.1856077078126,1750.5532281490116,10,252.4486928528081,179.31856077078126,-73.13013208202685,-28.968314811067714,578.6449185750873,618.5630238533332,465700200.79607016,-34.8069,116.5752,WA,main_catchment,606195,245.8,57,0.9911,0.030046,Extremely Strong,Negative-Intercept,9.578282554289338,-30.219103140332,-30.32345809170018
210017,1,1994.073822822119,1414.290063579376,1436.912032089407,6,332.3456371370198,235.71501059656268,-96.63062654045714,-29.07534077259999,512.9133551949919,526.2912705734709,803.4843351664533,-31.9437,151.2797,NSW,no_nested,NA,102.4,44,0.99313,0.045959,Moderately Strong,Negative-Intercept,12.60258497967287,-24.968162288244397,-26.054942641644935
235234,1,1963.0095275586418,1380.3139467831195,1392.2914051490116,10,196.3009527558642,138.03139467831195,-58.26955807755223,-29.683787704291476,364.4105605548102,380.1847460237513,2662.6915057426345,-38.483,143.57,VIC,sub_catchment,235224,76.6,40,0.95727,0.117438,Strong,Negative-Intercept,13.017370573213311,-20.81648647746735,-22.22010094270012
405234,2,2401.779858930137,1687.557730292547,1714.9917851490115,10,240.1779858930137,168.7557730292547,-71.422212863759,-29.737202016330393,535.0197377012706,561.7804206774367,647155.2433680369,-36.888,145.68,VIC,sub_catchment,405237,154.8,54,0.14744,0.529223,Very Strong,Negative-Slope,7.804090454497942,-33.61217968445197,-33.37216462925746
405248,1,693.2352224690326,484.96786123342577,408.8202011490116,10,69.32352224690325,48.496786123342574,-20.82673612356068,-30.042812956595018,449.478108210636,475.7192031569599,499092.8717571014,-36.853611,144.914444,VIC,no_nested,NA,292.1,50,0.67626,0.095684,Very Strong,Negative-Slope,16.077671291559426,-39.68555973106327,-40.68261774959067
238235,1,930.3942118532042,646.2304432049159,634.9578931490116,10,93.03942118532042,64.62304432049159,-28.416376864828834,-30.542297558179904,449.9101447269072,480.99482967797707,5622812.1289278325,-37.98,141.46,VIC,no_nested,NA,600.4,51,0.55944,0.139925,Extremely Strong,Negative-Slope,14.065773123648963,-29.937519351761072,-30.941239865077257
235205,2,11212.576404035644,7741.099569204602,7890.774538149011,10,1121.2576404035644,774.1099569204601,-347.1476834831043,-30.960563475684182,740.6902327980293,804.9392481519598,89432715554432.84,-38.638056,143.443056,VIC,sub_catchment,235224,4.4,62,1,0.127714,Extremely Strong,Negative-Slope,3.4237165005047068,-30.627211803018067,-30.631587756693833
317200,2,2029.2688409959628,1398.3812184064845,1444.2079161341105,9,225.4743156662181,155.37569093405384,-70.09862473216427,-31.089405693522572,544.2822747350956,563.0696008045794,12012.019286947365,-41.2567,146.5667,TAS,no_nested,NA,259.6,53,0.66934,0.180355,Very Strong,Negative-Intercept,9.630764280767677,-33.68671108526959,-33.50656676533957
